Time,H1_C1,H1_C2,H2_C1,H2_C2,H3_C1,H3_C2,H4_C1,H4_C2
0,1.08,0.003,1.066,0.003,1.076,0.002,1.076,0.001
6,0.965,0.097,0.976,0.085,0.961,0.086,0.994,0.071
12,0.886,0.175,0.912,0.158,0.898,0.154,0.939,0.135
18,0.83,0.238,0.864,0.221,0.859,0.212,0.892,0.188
24,0.774,0.29,0.793,0.264,0.788,0.259,0.827,0.233
30,0.716,0.332,0.756,0.318,0.758,0.304,0.787,0.278
36,0.702,0.373,0.72,0.353,0.709,0.344,0.748,0.314
42,0.673,0.4,0.687,0.385,0.702,0.379,0.741,0.336
48,0.644,0.425,0.657,0.406,0.667,0.402,0.7,0.363
54,0.62,0.444,0.648,0.43,0.638,0.429,0.684,0.387
60,0.612,0.457,0.634,0.452,0.623,0.448,0.658,0.415
66,0.598,0.479,0.607,0.461,0.608,0.458,0.65,0.424
