Time,H1_C1,H1_C2,H2_C1,H2_C2,H3_C1,H3_C2,H4_C1,H4_C2,S1,S2,S3,S4
0,818.18,2.27,807.58,2.27,815.15,1.52,815.15,0.76,inf,inf,inf,inf
6,731.06,73.48,739.39,64.39,728.03,65.15,753.03,53.79,30.0,24.13,24.21,21.49
12,671.21,132.58,690.91,119.7,680.3,116.67,711.36,102.27,29.66,24.41,23.44,21.93
18,628.79,180.3,654.55,167.42,650.76,160.61,675.76,142.42,29.33,24.77,23.21,21.75
24,586.36,219.7,600.76,200.0,596.97,196.21,626.52,176.52,29.14,23.72,22.81,21.54
30,542.42,251.52,572.73,240.91,574.24,230.3,596.21,210.61,28.86,25.18,23.13,22.07
36,531.82,282.58,545.45,267.42,537.12,260.61,566.67,237.88,29.57,25.08,23.61,22.16
42,509.85,303.03,520.45,291.67,531.82,287.12,561.36,254.55,29.14,25.35,24.17,21.23
48,487.88,321.97,497.73,307.58,505.3,304.55,530.3,275.0,29.19,24.82,23.85,21.3
54,469.7,336.36,490.91,325.76,483.33,325.0,518.18,293.18,28.95,25.26,24.6,21.41
60,463.64,346.21,480.3,342.42,471.97,339.39,498.48,314.39,28.23,26.03,24.78,22.38
66,453.03,362.88,459.85,349.24,460.61,346.97,492.42,321.21,29.83,25.13,24.0,21.39
